0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
106/05/24,"19,155,741","251,040,213",13.05,13.15,13.05,13.15,+0.10,"2,820",,,,,,,,,,,,,,,,,,,,,,,,
106/05/25,"17,071,356","225,316,321",13.15,13.25,13.15,13.25,+0.10,"2,695",,,,,,,,,,,,,,,,,,,,,,,,
106/05/26,"29,175,184","385,819,071",13.25,13.25,13.15,13.25, 0.00,"3,006",,,,,,,,,,,,,,,,,,,,,,,,
106/05/31,"70,023,024","938,584,508",13.25,13.55,13.25,13.45,+0.20,"6,447",,,,,,,,,,,,,,,,,,,,,,,,
106/06/01,"31,759,929","427,431,927",13.45,13.55,13.45,13.45, 0.00,"6,068",,,,,,,,,,,,,,,,,,,,,,,,
106/06/02,"26,700,095","359,204,841",13.45,13.50,13.40,13.50,+0.05,"3,277",,,,,,,,,,,,,,,,,,,,,,,,
106/06/03,"5,218,437","70,280,578",13.50,13.55,13.45,13.45,-0.05,"1,085",,,,,,,,,,,,,,,,,,,,,,,,
106/06/05,"36,793,410","500,000,824",13.50,13.70,13.45,13.70,+0.25,"5,457",,,,,,,,,,,,,,,,,,,,,,,,
106/06/06,"28,102,628","385,081,477",13.70,13.80,13.60,13.70, 0.00,"3,914",,,,,,,,,,,,,,,,,,,,,,,,
106/06/07,"26,214,441","359,336,390",13.70,13.80,13.65,13.75,+0.05,"3,405",,,,,,,,,,,,,,,,,,,,,,,,
106/06/08,"16,492,626","226,515,023",13.75,13.80,13.65,13.75, 0.00,"1,911",,,,,,,,,,,,,,,,,,,,,,,,
106/06/09,"20,903,124","286,451,887",13.70,13.75,13.65,13.70,-0.05,"3,342",,,,,,,,,,,,,,,,,,,,,,,,
106/06/12,"19,372,315","264,727,475",13.65,13.70,13.60,13.70, 0.00,"3,493",,,,,,,,,,,,,,,,,,,,,,,,
106/06/13,"13,923,953","190,711,593",13.70,13.75,13.65,13.70, 0.00,"2,059",,,,,,,,,,,,,,,,,,,,,,,,
106/06/14,"27,200,523","370,510,022",13.65,13.75,13.50,13.65,-0.05,"2,915",,,,,,,,,,,,,,,,,,,,,,,,
106/06/15,"20,061,051","272,256,744",13.60,13.65,13.50,13.60,-0.05,"2,119",,,,,,,,,,,,,,,,,,,,,,,,
106/06/16,"23,799,173","325,371,089",13.60,13.75,13.55,13.70,+0.10,"2,187",,,,,,,,,,,,,,,,,,,,,,,,
106/06/19,"24,727,371","336,090,899",13.65,13.65,13.50,13.60,-0.10,"3,541",,,,,,,,,,,,,,,,,,,,,,,,
106/06/20,"18,266,057","249,165,216",13.65,13.70,13.55,13.65,+0.05,"2,692",,,,,,,,,,,,,,,,,,,,,,,,
106/06/21,"16,748,793","229,070,324",13.65,13.70,13.60,13.70,+0.05,"2,612",,,,,,,,,,,,,,,,,,,,,,,,
106/06/22,"31,328,057","431,127,948",13.70,13.85,13.65,13.75,+0.05,"2,833",,,,,,,,,,,,,,,,,,,,,,,,
106/06/23,"10,472,327","144,005,209",13.75,13.80,13.70,13.75, 0.00,"1,525",,,,,,,,,,,,,,,,,,,,,,,,
106/06/26,"33,212,446","459,878,335",13.75,13.90,13.70,13.90,+0.15,"4,999",,,,,,,,,,,,,,,,,,,,,,,,
106/06/27,"24,585,631","342,964,248",13.95,14.05,13.85,13.90, 0.00,"3,399",,,,,,,,,,,,,,,,,,,,,,,,
106/06/28,"23,815,325","327,213,739",13.90,13.90,13.65,13.80,-0.10,"4,308",,,,,,,,,,,,,,,,,,,,,,,,
106/06/29,"13,672,199","189,514,732",13.85,13.95,13.80,13.85,+0.05,"3,018",,,,,,,,,,,,,,,,,,,,,,,,
106/06/30,"13,581,819","187,919,627",13.90,13.90,13.75,13.85, 0.00,"2,851",,,,,,,,,,,,,,,,,,,,,,,,
106/07/03,"23,219,944","322,588,036",13.80,13.95,13.80,13.95,+0.10,"3,027",,,,,,,,,,,,,,,,,,,,,,,,
106/07/04,"13,884,673","193,147,397",13.90,13.95,13.85,13.90,-0.05,"2,442",,,,,,,,,,,,,,,,,,,,,,,,
106/07/05,"19,090,513","265,891,412",13.90,14.00,13.85,13.95,+0.05,"1,950",,,,,,,,,,,,,,,,,,,,,,,,
106/07/06,"24,223,089","338,442,698",13.90,14.05,13.90,13.95, 0.00,"2,396",,,,,,,,,,,,,,,,,,,,,,,,
106/07/07,"12,094,205","168,432,540",13.95,13.95,13.90,13.95, 0.00,"1,325",,,,,,,,,,,,,,,,,,,,,,,,
